AARTSELAAR;AARDGAS;S31;550567.27;504250.79;478963.34;502674.65;1335965.49;2230721.4;2669893.16;3152141.58;4263457.18;3327260.71;2132343.83;1544863.04;679702.42;Regio 1
AARTSELAAR;AARDGAS;S32;2004438.62;1913977.73;1772956.47;1925294.24;2880012.71;3785598.44;4549788.86;4795098.87;5898720.44;4731735.51;3594285.09;3231993.68;2263650.67;Regio 1
AARTSELAAR;AARDGAS;S41;1897854.53;1382326.09;1145817.4;1323288.43;4713598.62;8112751.65;9921819.76;11470021.81;15275547.13;12533732.46;8024316.37;5528077.18;2142159.75;Regio 1
AARTSELAAR;ELEKTRICITEIT;S10;3080031.28;3036706.54;2983183.71;3074141.93;2732066.73;2837447.16;3145384.33;2821283.67;3151468.15;2875394.18;2720196.77;2967774.02;2919287.49;Regio 1
AARTSELAAR;ELEKTRICITEIT;S11;769387.96;737475.29;736930.17;769484.1;765555.73;802837.8;912309.16;878625.79;994922.45;964908.32;887586.68;873348.3;808803.23;Regio 1
AARTSELAAR;ELEKTRICITEIT;S12;105751.54;107017.45;105619.52;106422.8;119010.79;126955.94;151682.76;277722.03;313763.17;335532.93;303882.52;359539.95;374254.54;Regio 1
AARTSELAAR;ELEKTRICITEIT;S21;1189051.16;1186947.06;1170938.88;1156005.54;1212711.86;1201711.09;1345776.34;1299411.09;1479032.25;1447857.87;1315543.11;1240543.45;1136552.8;Regio 1
AARTSELAAR;ELEKTRICITEIT;S22;366400.69;364053.58;357944.46;345729.62;394081.55;450383.62;581937.68;620341.72;729788.34;686256.25;556658.89;456899.9;360971.24;Regio 1
AFFLIGEM;AARDGAS;S31;221254.17;211851.13;206644.48;212806.33;572353.03;965598.51;1163079.37;1325059.92;1745704.22;1360442.84;865630.88;612730.61;268449.67;Regio 1
AFFLIGEM;AARDGAS;S32;153070.28;123810.85;90259.27;120771.8;255494.9;348593.96;405794.07;421065.69;569762.76;446425.46;355910.08;307264.05;163564.41;Regio 1
AFFLIGEM;AARDGAS;S41;1165212.23;840098;675317.42;778747.11;2779849;4803372.37;5856321.11;6768708.67;9088536.37;7434560.78;4743236.43;3271880.71;1273389.89;Regio 1
AFFLIGEM;ELEKTRICITEIT;S10;273112.89;253032.4;244148.91;241736.38;191212.29;188178.04;204282.17;202849.17;236180.79;229263.99;213706.65;221197.32;197203.71;Regio 1
AFFLIGEM;ELEKTRICITEIT;S11;428448.52;413423.35;420434.9;442239.31;443532.88;463334.94;543053.28;527957.34;590473.57;573175.18;518647.63;501276.21;455122.7;Regio 1
AFFLIGEM;ELEKTRICITEIT;S12;19085.6;18721.6;14889.89;17970.12;38773.2;39651.4;51197.85;49495.22;52431.26;52036.03;45243.75;61458.65;63635.04;Regio 1
AFFLIGEM;ELEKTRICITEIT;S21;965177.55;961760.24;933679.85;923915.07;968682.78;966461.98;1073789.36;1039991.74;1192431.22;1168579.68;1065207.18;1012099.03;933226.49;Regio 1
AFFLIGEM;ELEKTRICITEIT;S22;467799.08;465390.85;454696.24;432352.93;496707.72;566727.82;732454.69;783275.1;919531.98;855686.38;707132.14;579235.86;457290.09;Regio 1
ALKEN;AARDGAS;S30;2310483.07;2404985.17;2625046.03;2570388.82;2787412.62;2789917.47;2866120.22;2262642.84;2023203.44;2328219.63;2096564.3;2344951.28;2560556.64;Regio 1
ALKEN;AARDGAS;S31;285951.24;260376.5;248897.01;261391.68;707002.42;1184210.49;1431630.49;1651082.03;2219031.55;1727926.48;1094586.9;759668.25;336311.88;Regio 1
ALKEN;AARDGAS;S32;1966364.23;1812500.63;1590355.19;1620185.78;2046759.62;2515905.52;2671250.68;2686256.82;3057498.59;2999630.08;2711360.93;2448090.25;2144018.38;Regio 1
ALKEN;AARDGAS;S41;942664.86;685301.38;566797.43;641031.36;2269586.06;3933682.88;4790640.81;5544285.5;7422845.51;6072818.41;3883562.91;2679610.91;1036044.53;Regio 1
ALKEN;ELEKTRICITEIT;S10;4542111.47;4365227.63;4189204.23;4528838.29;4277803.45;4230963.61;4499924.65;3983435.38;4165903.86;3750382.4;4032510.33;4443180.25;4475064.4;Regio 1
ALKEN;ELEKTRICITEIT;S11;579578.36;558260.89;565783.67;613780.46;608633.15;643884.21;739178.67;719100.69;806195.75;788297.45;715990.2;694586.97;634243.85;Regio 1
ALKEN;ELEKTRICITEIT;S12;95341.94;85078.89;79909.68;77532;77017;84718;102392;93392;122794;121437;129222;158041;143377;Regio 1
ALKEN;ELEKTRICITEIT;S21;924104.2;922469.35;923620.21;899820.34;951412.19;948644.6;1053994.07;1026525.64;1174669.19;1149076.34;1043395.97;985428.18;902822.03;Regio 1
ALKEN;ELEKTRICITEIT;S22;200168.41;203356.15;206490.22;192812.89;222416.94;252162.37;325665.57;350308.69;410480.38;379516.24;308685.16;248241.26;194989.56;Regio 1
ALVERINGEM;AARDGAS;S31;116297.97;108586.36;101393.23;105143.95;280396.29;484615.93;571628.31;655960.31;873974.93;686709.04;434051.6;306702.42;132493.52;Regio 1
ALVERINGEM;AARDGAS;S32;138784.06;187103.86;65591.68;76044.03;318022.25;319729.49;459306.28;428781.67;610337.29;491433.83;1396317.09;598731.7;87594.49;Regio 1
ALVERINGEM;AARDGAS;S41;353519.25;256839.24;213535.21;247024.23;885288.12;1529743.35;1865774.68;2124409.75;2784693.99;2271224.47;1454942.12;1001549.34;387774.34;Regio 1
ALVERINGEM;ELEKTRICITEIT;S10;824268.71;749459.37;701109.29;734102.97;687182.16;708801.38;778900.61;694168.31;771132.54;854629.41;852122.29;904142.74;789474.67;Regio 1
ALVERINGEM;ELEKTRICITEIT;S11;458050.69;445541.43;443765.13;457499.87;458245.49;475795.58;547809.43;545096.64;623620.75;626257.59;561387.71;544384.36;515750.68;Regio 1
ALVERINGEM;ELEKTRICITEIT;S12;25169.93;24119.56;23582.91;24088.08;28083.11;32418.76;32769.9;33251.5;36741.36;34015.77;29727.17;30922.61;30839.9;Regio 1
ALVERINGEM;ELEKTRICITEIT;S21;332893.97;332806.83;329121.07;326350.87;347163.83;345909.01;383724.1;373078.41;419066.33;405482.09;374640.05;354855.09;326632.91;Regio 1
ALVERINGEM;ELEKTRICITEIT;S22;113060.65;114390.88;113594.98;109749.29;126875.25;148829.62;195583.55;211886.36;263215.71;250687.49;205552.93;167633.63;131420.76;Regio 1
ANTWERPEN;AARDGAS;S30;42904570.75;42624053.43;44415518.56;43513916.27;56699031.52;64886966.69;69389590.99;69590483.42;77160386.38;70894041.18;62497625.98;59037718.9;47241437.47;Regio 1
ANTWERPEN;AARDGAS;S31;16008666.34;14502631.19;13762983.33;14429532.86;38629954.73;64151840.62;76942126.72;89559755.43;120177027.31;93289400.7;59152494.85;42112315.43;18634273.79;Regio 1
ANTWERPEN;AARDGAS;S32;45748259.84;38874642.37;34758257.47;38287743.18;84432941.3;126011855.35;152647728.63;171208968.61;207335686.21;178983193.84;128026991.73;98271969.05;49954228.95;Regio 1
ANTWERPEN;AARDGAS;S41;53202749.59;38634066.98;31992915.49;36875610.83;131596068.88;228293147.73;278929137.57;322599703.31;432909972.6;355231958.94;227193849.17;156763011.58;60900325.13;Regio 1
ANTWERPEN;ELEKTRICITEIT;S10;101794776.42;97411088.75;98020410.15;99089466.67;95027108.64;94982920.51;102661089.41;96425514.4;105791772.77;99569028.13;93433552.26;99622706.35;96123912.63;Regio 1
ANTWERPEN;ELEKTRICITEIT;S11;23421029.3;22489637.59;22603268.89;23522714.6;23594462.58;24732269.69;28253237.17;27699111.26;31194429.36;30553974.44;27723963.44;26902472.16;24947885.8;Regio 1
ANTWERPEN;ELEKTRICITEIT;S12;2584963.67;2490478.69;2508679.96;2752804.83;2721773.83;2843699.1;3552015.77;3962599.84;5238522.89;5326081.29;4897643.54;5575022.38;5431555.57;Regio 1
ANTWERPEN;ELEKTRICITEIT;S21;40392700.65;40244770.5;39698416.97;39112849.69;40902245.26;40670528.33;45101210.74;43339400.16;49505348.83;48470785.31;44071657.48;41789212.21;38403620.33;Regio 1
ANTWERPEN;ELEKTRICITEIT;S22;6185208.78;6101772.39;5979557.19;5715368.4;6558036.51;7471419.38;9605179.41;10207800.37;12110168.6;11524972.69;9672255.13;8068499.67;6441779.23;Regio 1
ANZEGEM;AARDGAS;S31;317829.79;289489.26;277822.29;290507.29;807754.45;1314482.34;1569369.33;1832377.99;2431359.85;1934086.66;1236472.57;894868.93;411123.26;Regio 1
ANZEGEM;AARDGAS;S32;641081.98;422705.97;442517.69;470337.09;744884.14;1048482.1;1280270.64;1534596.27;1797057.24;1390364.89;1075814.31;882753.76;610346.72;Regio 1
ANZEGEM;AARDGAS;S41;981312.32;711345.22;587678.64;677127.69;2416294.98;4157455.22;5068287.67;5838837.92;7836009.97;6401566.63;4080733.94;2817127.43;1090699.72;Regio 1
ANZEGEM;ELEKTRICITEIT;S10;3077096.86;2220177.17;2303468.02;2978761.62;2714810.69;2804077.87;3041773;3090694.62;3157193.44;2490114.57;2940271.7;3190319.68;3002881.07;Regio 1
ANZEGEM;ELEKTRICITEIT;S11;769453.9;739213.57;740987.13;784172.8;795347.36;830519.82;940113.44;913882.38;1024352.14;1006943.13;916010.48;897369.99;837351.34;Regio 1
ANZEGEM;ELEKTRICITEIT;S12;41980.61;47986.66;80440.07;107980.58;108373.84;136892.53;153636.85;158418.04;181435.6;180759.03;155596.8;157882.62;141535.09;Regio 1
ANZEGEM;ELEKTRICITEIT;S21;1009377.69;1002672.26;987434.4;973211.91;1021874.2;1019816.81;1132484.35;1098020.63;1253606.65;1225514.66;1129375.84;1084954.63;1004532.21;Regio 1
ANZEGEM;ELEKTRICITEIT;S22;549062.68;558139.32;561845.9;543061.48;620715.01;707096.6;918131.35;984473.25;1161433.19;1077103.01;888835.76;722994.41;575660.25;Regio 1
ARDOOIE;AARDGAS;S30;17983963.03;18634482.13;16272783.03;15086887.53;14994289.78;15123307.26;16418188.94;14603271.71;20342901.33;18329869.85;20608987.98;18984053.92;17303890.59;Regio 1
ARDOOIE;AARDGAS;S31;244813.9;226202.92;217194.36;230954.89;634611.55;1079439.65;1297861.95;1563116.68;2051720.86;1606155.2;1005585.93;677722.58;296355.42;Regio 1
ARDOOIE;AARDGAS;S32;1565683;1700732.45;1645563.62;1399922.11;2008230.22;2600806.33;3683354.97;3053261.82;4125606.17;3388639.34;2477272.18;2239303.54;1976764.36;Regio 1
ARDOOIE;AARDGAS;S41;858181.03;620788.52;514796.16;593063.49;2113402.61;3655987.19;4484546.19;5205223.4;6968044.73;5721055.31;3654745.31;2515386.68;958836.9;Regio 1
ARDOOIE;ELEKTRICITEIT;S10;21857322.5;20155822.86;20237970.23;18776407.71;13782594.39;10984793.79;12687452.11;12354610.44;18303936.23;18305290.14;22156580.59;22461303.73;19753701.39;Regio 1
ARDOOIE;ELEKTRICITEIT;S11;519875.04;500949.19;503609.58;530979.84;544283.96;586687.21;661616.18;651394.81;724024.93;698338.53;630144.54;607804.33;576708.43;Regio 1
ARDOOIE;ELEKTRICITEIT;S12;26123.79;23003.15;21772.63;24965.39;76614.98;98650.25;97481.25;117878.93;130374.37;110354.94;110788.46;99024.23;70501.15;Regio 1
ARDOOIE;ELEKTRICITEIT;S21;648716.99;644086.11;635933.12;626377.13;654565.91;658609.9;731058.29;704967.15;806190.72;787669.91;719052.15;687227.95;631158.83;Regio 1
ARDOOIE;ELEKTRICITEIT;S22;232315.16;231284.45;228326.96;217587.63;252309.1;279997.56;362989.61;389123.02;458796.43;432128.77;357118.13;292571.99;239522.27;Regio 1
